6 Month Gold Moving Average,Monthly CPI Change,Next Month Gold
0.02%,0.23%,-5.22%
0.20%,0.40%,-1.58%
1.32%,0.45%,2.83%
0.94%,0.17%,0.00%
0.73%,-0.28%,0.00%
-1.05%,0.00%,-2.32%
-0.54%,0.45%,-2.19%
0.41%,-0.34%,4.11%
0.89%,-0.17%,5.75%
0.36%,-0.39%,-3.20%
0.96%,0.23%,3.58%
1.96%,0.40%,3.69%
2.84%,0.56%,3.08%
2.15%,0.56%,0.00%
1.19%,0.00%,0.00%
1.73%,0.06%,0.00%
1.13%,0.11%,0.00%
0.28%,0.33%,-1.37%
-0.23%,0.17%,0.00%
-0.23%,0.17%,0.00%
0.74%,0.00%,5.78%
-0.04%,-0.22%,-4.63%
-1.08%,0.44%,-6.24%
-0.62%,0.77%,1.36%
1.07%,0.60%,10.16%
0.36%,-0.22%,-4.28%
-0.72%,-0.16%,-0.68%
0.76%,0.11%,4.28%
2.31%,0.11%,3.01%
1.87%,0.38%,-1.27%
1.06%,0.33%,5.30%
2.46%,-0.11%,4.14%
3.15%,-0.27%,3.43%
2.12%,-0.11%,-1.90%
0.88%,0.49%,-4.45%
2.13%,0.54%,6.27%
-0.46%,0.64%,-10.28%
-0.82%,0.32%,2.02%
-0.38%,0.59%,6.06%
-0.39%,0.32%,-1.96%
0.35%,-0.16%,0.00%
-0.69%,0.05%,0.00%
1.27%,0.21%,1.53%
1.95%,0.53%,6.08%
0.94%,0.05%,0.00%
1.27%,-0.37%,0.00%
1.71%,0.21%,2.63%
1.71%,0.58%,0.00%
1.45%,0.78%,0.00%
0.44%,0.67%,0.00%
1.25%,-0.10%,4.88%
0.61%,0.05%,-3.84%
0.72%,0.46%,3.28%
1.84%,0.51%,6.70%
1.85%,1.22%,0.09%
2.64%,0.20%,4.71%
2.01%,-0.80%,1.15%
4.31%,-0.40%,9.93%
3.83%,0.76%,0.42%
2.96%,0.20%,1.48%
4.79%,0.55%,11.06%
6.07%,0.85%,12.37%
2.76%,0.50%,-18.68%
3.79%,0.20%,16.11%
3.23%,0.30%,-2.97%
1.84%,0.20%,-6.87%
-0.52%,-0.49%,-3.07%
-1.28%,-0.54%,7.78%
2.25%,-0.15%,2.51%
-1.15%,0.15%,-4.27%
0.62%,0.30%,7.60%
1.75%,0.54%,-0.05%
2.87%,0.93%,3.63%
1.91%,0.63%,2.05%
1.04%,0.58%,-2.72%
1.34%,0.24%,-2.48%
0.55%,-0.05%,2.88%
0.81%,-0.19%,1.52%
1.58%,0.29%,8.23%
2.77%,0.19%,9.20%
3.13%,0.62%,-0.55%
4.83%,-0.10%,7.71%
4.79%,0.52%,2.64%
6.22%,0.28%,10.06%
3.95%,0.85%,-5.36%
1.57%,0.61%,-5.06%
1.58%,0.84%,-0.48%
1.36%,1.02%,6.37%
0.04%,0.53%,-5.25%
-3.16%,-0.40%,-9.19%
-1.62%,-0.14%,3.89%
-2.86%,-1.01%,-12.49%
-1.78%,-1.92%,5.98%
-0.93%,-1.03%,11.50%
0.81%,0.44%,5.18%
3.09%,0.50%,4.49%
1.20%,0.24%,-7.49%
4.02%,0.25%,4.48%
3.96%,0.29%,5.62%
1.48%,0.86%,-3.42%
1.25%,-0.16%,3.81%
1.05%,0.22%,3.28%
2.64%,0.06%,2.10%
3.01%,0.10%,6.65%
4.12%,0.07%,12.28%
3.33%,-0.18%,-8.16%
1.86%,0.34%,-4.98%
2.27%,0.02%,5.76%
2.35%,0.41%,2.55%
1.89%,0.17%,3.87%
0.43%,0.08%,3.54%
1.24%,-0.10%,-3.28%
2.05%,0.02%,-0.12%
1.82%,0.14%,4.34%
2.59%,0.06%,7.18%
1.92%,0.12%,-0.13%
2.18%,0.04%,5.11%
2.41%,0.17%,-1.91%
2.11%,0.48%,-1.90%
2.40%,0.49%,6.05%
1.41%,0.98%,1.23%
1.76%,0.64%,2.00%
1.65%,0.47%,4.43%
1.78%,-0.11%,-1.15%
3.48%,0.09%,8.34%
4.67%,0.28%,13.13%
2.16%,0.15%,-13.82%
3.00%,-0.21%,7.06%
2.44%,-0.08%,1.06%
1.34%,-0.25%,-7.73%
1.25%,0.44%,7.82%
-1.57%,0.44%,-3.83%
0.14%,0.76%,-3.54%
-0.70%,0.30%,2.01%
-1.18%,-0.12%,-1.79%
0.05%,-0.15%,-0.39%
-1.29%,-0.16%,-0.18%
0.25%,0.56%,5.41%
1.67%,0.45%,4.99%
0.45%,-0.04%,-5.35%
0.85%,-0.47%,0.61%
0.45%,-0.27%,-2.77%
0.81%,0.30%,1.96%
-1.10%,0.82%,-6.03%
-1.98%,0.26%,-0.29%
-2.39%,-0.10%,-7.82%
-2.88%,0.18%,-2.30%
-4.54%,0.24%,-12.77%
-4.22%,0.04%,3.91%
-2.04%,0.12%,7.01%
-2.77%,0.12%,-4.62%
-1.40%,-0.26%,0.37%
-1.86%,-0.20%,-5.05%
0.13%,-0.01%,-0.83%
-0.26%,0.37%,1.58%
-0.35%,0.37%,6.43%
-0.08%,0.64%,-3.00%
-0.27%,0.33%,-0.72%
0.10%,0.35%,-2.83%
1.09%,0.19%,5.10%
0.71%,-0.04%,-0.71%
-0.88%,-0.17%,-3.13%
-1.16%,0.08%,-4.67%
-1.58%,-0.25%,-3.26%
-0.54%,-0.54%,3.43%
-1.23%,-0.57%,0.98%
-0.52%,-0.47%,3.50%
-1.26%,0.43%,-7.58%
0.04%,0.60%,3.15%
0.29%,0.20%,-1.72%
-0.41%,0.51%,-0.78%
-0.71%,0.35%,-0.84%
-2.34%,0.01%,-6.28%
-0.62%,-0.14%,2.79%
-0.75%,-0.16%,2.34%
-1.05%,-0.04%,-3.51%
-1.25%,-0.21%,-1.99%
-1.00%,-0.34%,0.68%
1.05%,0.17%,6.02%
2.21%,0.08%,9.70%
1.27%,0.43%,-3.27%
2.47%,0.47%,3.66%
2.36%,0.41%,-2.61%
3.81%,0.33%,9.38%
2.81%,-0.16%,-0.02%
0.65%,0.09%,-3.24%
1.15%,0.24%,-0.24%
0.52%,0.12%,-0.17%
-0.74%,-0.16%,-10.16%
-2.22%,0.03%,0.49%
-1.51%,0.58%,4.26%
-1.26%,0.31%,-1.75%
-0.65%,0.08%,3.46%
-0.95%,0.30%,-2.00%
1.62%,0.09%,5.29%
0.49%,0.09%,-6.32%
0.46%,-0.07%,4.10%
1.76%,0.30%,6.02%
0.38%,0.53%,-4.80%
0.67%,-0.06%,-0.27%
-0.27%,0.00%,-0.39%
1.55%,-0.06%,4.65%
0.94%,0.54%,0.44%
-0.14%,0.45%,-0.47%
0.87%,0.23%,1.24%
0.61%,0.40%,-1.82%
0.51%,0.42%,-1.01%
-0.79%,0.16%,-3.13%
-1.51%,0.01%,-3.86%
-1.59%,0.06%,-0.97%
-1.75%,0.12%,0.28%
-1.05%,0.18%,2.38%
-0.77%,-0.33%,0.67%
0.36%,-0.32%,3.64%
1.34%,0.19%,2.04%
1.24%,0.42%,-1.57%
1.38%,0.56%,1.14%
0.73%,0.53%,-1.53%
1.15%,0.21%,3.21%
1.62%,0.02%,6.45%
2.32%,0.17%,6.21%
2.63%,-0.01%,0.30%
2.38%,0.08%,-0.33%
2.56%,0.23%,-0.47%
1.68%,-0.05%,-2.09%
1.73%,-0.09%,6.74%
0.81%,0.39%,0.72%
1.72%,0.27%,5.77%
1.84%,-0.22%,0.38%
2.37%,-0.67%,2.67%
2.76%,0.00%,0.28%
2.46%,0.55%,4.93%
4.29%,0.51%,11.72%
2.69%,0.32%,-3.84%
2.20%,0.14%,-2.56%
2.30%,0.04%,3.28%
1.54%,-0.06%,-4.29%
1.17%,0.09%,2.71%
-1.48%,0.43%,-4.20%
-1.85%,0.55%,-6.03%
-1.21%,0.71%,1.27%
-0.86%,0.82%,5.40%
0.36%,0.80%,3.03%