6MonthGoldChange,CPIChange,NextMonthGoldChange
2.34007692,0.227531286,-5.21920679
0.204834721,0.397275823,-1.578556569
132.1689266,0.4522329,2.834765323
0.944233333,0.16882386,0
72.78661396,-0.280898876,0
-1.046600418,0,-2.316604471
-54.20444093,0.450704225,-2.191870738
0.406817487,-0.336511497,4.114614808
89.29556556,-0.16882386,5.751594335
0.359088143,-0.394588501,-3.203205077
95.65829023,0.226372383,3.584968557
1.958324579,0.395256917,3.693845591
283.7115499,0.562429696,3.08087478
2.151346364,0.559284116,0
119.2747309,0,0
1.726614821,0.055617353,0
112.9120062,0.111172874,0
0.284955494,0.333148251,-1.371141814
-22.85236357,0.166021029,0
-0.228523636,0.165745856,0
73.55839104,0,5.784645277
-0.035937759,-0.220628792,-4.629130016
-107.6717433,0.442233278,-6.244678044
-0.621127486,0.770500826,1.36239787
107.1425343,0.60076461,10.15531697
0.357398385,-0.217155266,-4.284161745
-72.00233249,-0.163220892,-0.679884986
0.764561652,0.108991826,4.278379847
230.6800107,0.108873163,3.008752686
1.867306024,0.380641653,-1.274566629
105.784503,0.325027086,5.298551005
2.46152767,-0.107991361,4.1379341
314.7158064,-0.27027027,3.433897373
2.117914226,-0.108401084,-1.897083181
87.51766006,0.488334238,-4.447673064
2.133224524,0.539956803,6.273720909
-46.37454104,0.644468314,-10.2832686
-0.817325825,0.320170758,2.016451611
-37.96729165,0.585106383,6.059814824
-0.390450055,0.317292438,-1.961746012
35.0828789,-0.158144439,0
-0.694791363,0.05279831,0
127.4147865,0.211081794,1.530366766
1.950789963,0.526592944,6.076304201
94.08208259,0.052383447,0
1.267778494,-0.366492147,0
170.6375235,0.21019443,2.631580445
1.706375235,0.576822234,0
145.1314108,0.782064651,0
0.438596741,0.672529747,0
125.2476389,-0.102774923,4.883277891
0.612761253,0.051440329,-3.838290815
72.1322212,0.462724936,3.282946197
1.838023897,0.511770727,6.700210108
1.852311438,1.221995927,0.085725245
2.637464899,0.201207243,4.710920771
2.014451168,-0.803212851,1.145195501
4.308702138,-0.4048583,9.927215003
3.832048636,0.762195122,0.423025188
2.962598966,0.201714574,1.483512088
4.792143786,0.55359839,11.06299416
6.067979735,0.850850851,12.36593647
2.763110155,0.496277916,-18.68402198
3.793974699,0.197530864,16.11240226
3.22824348,0.295712173,-2.971362121
1.836555791,0.196560197,-6.866614049
-0.518575327,-0.490436488,-3.067792542
-1.282718024,-0.542138985,7.781080282
2.250385774,-0.148662042,2.514600811
-1.147152573,0.148883375,-4.272827817
0.61550152,0.297324083,7.604562436
1.752254295,0.543478261,-0.046097402
2.868124137,0.933660934,3.627426509
1.912422181,0.632911392,2.046868549
1.040317879,0.580551524,-2.718025
1.339089239,0.240500241,-2.480199656
0.55171905,-0.047984645,2.880341298
0.812566805,-0.192030725,1.518989129
1.579566181,0.288600289,8.229422768
2.772261333,0.191846523,9.203039456
3.134246842,0.622307324,-0.546111944
4.833024428,-0.095147479,7.712465859
4.793241917,0.523809524,2.641646233
6.216337994,0.284225486,10.05756559
3.950750644,0.850259802,-5.364101333
1.573371639,0.608899297,-5.061234572
1.584481392,0.837988827,-0.479453425
1.360093601,1.015697138,6.36613911
0.044517949,0.531992687,-5.251807681
-3.16258664,-0.399156226,-9.18506194
-1.621036663,-0.138301854,3.88519853
-2.858568807,-1.010133328,-12.48642743
-1.781509766,-1.915289533,5.982900822
-0.926125879,-1.034247381,11.49844243
0.81245047,0.435241738,5.179650417
3.09196318,0.497293304,4.492014317
1.195447715,0.243174846,-7.493894257
4.022359459,0.249636828,4.475043029
3.962423527,0.288876383,5.623285228
1.475845169,0.858989226,-3.421027721
1.24779879,-0.158558692,3.811372142
1.045350708,0.224285004,3.277325825
2.644135994,0.062548069,2.098817459
3.006456471,0.096310119,6.64896589
4.115108554,0.070775337,12.27519773
3.325824635,-0.176119817,-8.156731234
1.860319088,0.341747357,-4.981661139
2.274187704,0.024920738,5.76053752
2.35010085,0.410628354,2.554296334
1.887026118,0.173688491,3.870517496
0.431574291,0.077519735,3.54248677
1.243676537,-0.097626708,-3.284117759
2.054485889,0.021104306,-0.116805025
1.818307681,0.138066428,4.34346827
2.589358576,0.058173623,7.180601707
1.921865277,0.124519889,-0.134442301
2.182796379,0.042064642,5.108073385
2.411141423,0.171844079,-1.914047498
2.113840084,0.476323005,-1.900613058
2.398086709,0.493136503,6.048948017
1.407024535,0.975107203,1.234228666
1.76349934,0.643942954,2.004406531
1.650443273,0.470418753,4.42973698
1.777619645,-0.107096706,-1.150989266
3.484458527,0.088604567,8.340420232
4.665045909,0.27575889,13.13247231
2.155521534,0.151846212,-13.82291758
2.998142983,-0.206268263,7.060135224
2.436287122,-0.084356133,1.058601812
1.339242726,-0.246651638,-7.733255638
1.251983016,0.435587933,7.816861972
-1.57450523,0.444728773,-3.826457166
0.139988312,0.759455862,-3.535956333
-0.701776653,0.30210295,2.009545433
-1.177150327,-0.117347937,-1.793640231
0.046718934,-0.146639688,-0.390040069
-1.286132871,-0.162978586,-0.180248863
0.253436723,0.556515818,5.410960399
1.673684311,0.446221227,4.985529199
0.446957006,-0.038892514,-5.350818397
0.846955909,-0.473808669,0.606353186
0.450093611,-0.269306449,-2.771213858
0.806276595,0.295730419,1.956849043
-1.099901114,0.819002953,-6.026105856
-1.979450243,0.261450858,-0.291765576
-2.391718424,-0.103963948,-7.824427481
-2.875800626,0.178040777,-2.298140028
-4.542442083,0.239970809,-12.7710626
-4.216709943,0.039399753,3.911241887
-2.044704815,0.120293156,7.005924909
-2.76562576,0.116300449,-4.617291247
-1.399198946,-0.257528326,0.374133403
-1.858003619,-0.204242419,-5.050968067
0.131641483,-0.00858115,-0.833191989
-0.257669564,0.372024767,1.575375604
-0.354246489,0.369790865,6.426463362
-0.084162073,0.644004413,-2.996784748
-0.267216458,0.329675445,-0.724192912
0.102522972,0.349260984,-2.832531482
1.09195968,0.186212694,5.103428259
0.711615304,-0.039019396,-0.706690653
-0.881131058,-0.167051417,-3.130014811
-1.159832201,0.075256882,-4.668991603
-1.581935081,-0.251227781,-3.256810193
-0.537349567,-0.539941794,3.434981598
-1.225049322,-0.567010091,0.977229731
-0.523600015,-0.470589237,3.50200519
-1.264476785,0.434304492,-7.575275436
0.038093364,0.595172161,3.146429291
0.294136516,0.203287325,-1.720551277
-0.408041191,0.509723203,-0.778084643
-0.711552408,0.350287,-0.843837574
-2.342529245,0.006704716,-6.283855834
-0.615236407,-0.141627628,2.788481597
-0.749967995,-0.155675658,2.338039761
-1.048897847,-0.044968375,-3.514130387
-1.25059228,-0.211068038,-1.988251243
-0.996228633,-0.341709644,0.682344306
1.053919005,0.165310221,6.017029999
2.206023753,0.082307653,9.701110084
1.271688161,0.430600014,-3.267973794
2.466570417,0.474106798,3.655163149
2.363378335,0.407504775,-2.607403732
3.81270095,0.333838392,9.378279998
2.806175799,-0.162215086,-0.022120908
0.649786403,0.085602563,-3.237226294
1.153805112,0.23873483,-0.243861539
0.516600673,0.124674851,-0.168063484
-0.742537323,-0.155546087,-10.16223171
-2.224664753,0.032732139,0.485515417
-1.510344567,0.582772789,4.263800211
-1.262134764,0.314611739,-1.74796748
-0.645018288,0.081279787,3.458837319
-0.950261047,0.296553337,-1.999520037
1.624860006,0.085472183,5.288494606
0.491050793,0.090711101,-6.317339859
0.464404076,-0.068992264,4.103919906
1.758488254,0.29944523,6.016537589
0.382355238,0.529490589,-4.79796078
0.670985327,-0.06320421,-0.267739502
-0.274912925,0.002432469,-0.386894907
1.553448332,-0.058783228,4.652827688
0.94267644,0.544774545,0.439288554
-0.138001953,0.453468997,-0.467532774
0.868744884,0.22611259,1.242520244
0.610291878,0.397509156,-1.81845754
0.505820488,0.415891693,-1.013723247
-0.790684347,0.15938757,-3.126201319
-1.506402364,0.006746326,-3.855019547
-1.589689894,0.055554233,-0.967257956
-1.750863936,0.116202518,0.275475994
-1.050960906,0.176676346,2.380960637
-0.769523611,-0.334934852,0.674900526
0.358622667,-0.319396282,3.642676349
1.341421982,0.190659667,2.04177634
1.240425355,0.422705314,-1.573237714
1.384611366,0.564135836,1.140592058
0.732062819,0.529500161,-1.534330648
1.154574216,0.212875859,3.209968913
1.621918956,0.019914718,6.446744784
2.317010182,0.167094162,6.2123237
2.629293254,-0.005066824,0.300460716
2.383720382,0.078344858,-0.332845171
2.56151892,0.228619055,-0.467539422
1.678696337,-0.053624303,-2.086966583
1.727077719,-0.090976953,6.737033076
0.811547803,0.387976994,0.719144204
1.72305036,0.274061813,5.769476054
1.841812362,-0.217645103,0.379726845
2.36507405,-0.668694187,2.672030705
2.759687464,0.001950162,0.280713897
2.458177931,0.547204693,4.92797588
4.291966913,0.50582435,11.7218781
2.691116084,0.315321052,-3.83562892
2.201892564,0.139274694,-2.555614278
2.302495164,0.041493776,3.275646304
1.540310022,-0.061062722,-4.292396951
1.171052169,0.094147847,2.712428761
-1.483321254,0.425378349,-4.20436244
-1.848471611,0.547438279,-6.026531064
-1.211479175,0.708327313,1.266340343
-0.856829886,0.821890915,5.403542038
0.363784581,0.801710515,3.03128985